exp,sid,person_hash,base_uuid,flipped,unique_uuid,n_points,event_index,total_events,event_progress,action,k,revisions_so_far,elapsed_s,silhouette,delta_silhouette,compactness,confidence,stop,post_action_s
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,4,33,0.1212121212121212,add,2,1,7.795700000047684,0.5249162157890817,,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,5,33,0.1515151515151515,add,3,1,9.1805,0.4027627786234995,-0.1221534371655821,0.7937126176634468,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,6,33,0.1818181818181818,add,4,1,10.960400000095367,0.4027627786234995,0.0,0.7937126176634468,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,7,33,0.2121212121212121,delete,3,2,11.404799999952315,0.4027627786234995,0.0,0.7937126176634468,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,8,33,0.2424242424242424,delete,2,3,11.937600000143052,0.5249162157890817,0.1221534371655821,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,9,33,0.2727272727272727,add,3,3,12.723200000047685,0.4027627786234995,-0.1221534371655821,0.7937126176634468,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,10,33,0.303030303030303,delete,2,4,13.554400000095368,0.5249162157890817,0.1221534371655821,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,11,33,0.3333333333333333,add,3,4,14.133200000047683,0.5216210797799045,-0.0032951360091771,0.8416203723003919,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,12,33,0.3636363636363636,delete,2,5,14.985600000143052,0.5249162157890817,0.0032951360091771,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,13,33,0.3939393939393939,add,3,5,15.452799999952315,0.5216210797799045,-0.0032951360091771,0.8416203723003919,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,14,33,0.4242424242424242,delete,2,6,16.450299999952318,0.5249162157890817,0.0032951360091771,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,15,33,0.4545454545454545,add,3,6,16.872299999952315,0.4332838844706773,-0.0916323313184043,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,16,33,0.4848484848484848,delete,2,7,17.760799999952315,0.5249162157890817,0.0916323313184043,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,17,33,0.5151515151515151,add,3,7,18.338200000047685,0.4332838844706773,-0.0916323313184043,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,18,33,0.5454545454545454,add,4,7,19.80079999995232,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,19,33,0.5757575757575758,add,5,7,20.686400000095368,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,20,33,0.6060606060606061,add,6,7,21.4575,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,21,33,0.6363636363636364,delete,5,8,21.91060000014305,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,22,33,0.6666666666666666,delete,4,9,22.462900000095367,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,23,33,0.696969696969697,delete,3,10,22.87860000014305,0.4332838844706773,0.0,0.805377072151972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,24,33,0.7272727272727273,delete,2,11,23.60629999995232,0.5249162157890817,0.0916323313184043,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,25,33,0.7575757575757576,add,3,11,24.67910000014305,0.5216210797799045,-0.0032951360091771,0.8416203723003919,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,26,33,0.7878787878787878,add,4,11,25.650700000047685,0.6976565449294931,0.1760354651495886,0.957574143828785,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,27,33,0.8181818181818182,delete,3,12,26.154200000047684,0.5216210797799045,-0.1760354651495886,0.8416203723003919,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,28,33,0.8484848484848485,delete,2,13,26.57,0.5249162157890817,0.0032951360091771,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,29,33,0.8787878787878788,add,3,13,28.464700000047685,0.5339014193383897,0.008985203549308,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,30,33,0.9090909090909092,add,4,13,30.002200000047683,0.5339014193383897,0.0,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,31,33,0.9393939393939394,delete,3,14,30.73040000009537,0.5339014193383897,0.0,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,32,33,0.9696969696969696,delete,2,15,31.240400000095367,0.5249162157890817,-0.008985203549308,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,33,33,1.0,add,3,15,32.04629999995232,0.5339014193383897,0.008985203549308,0.8044761754913972,,1,3.132200000047684
exp3,exp3_P001,person_061,37ce66b3-c54a-46ec-981d-96c33e8fba81,0,trial_00005,15,2,4,0.5,add,2,0,2.948700000047684,0.3468107680518694,,0.3132943156783601,,0,
exp3,exp3_P001,person_061,37ce66b3-c54a-46ec-981d-96c33e8fba81,0,trial_00005,15,4,4,1.0,add,2,1,5.893399999856949,0.3468107680518694,0.0,0.3132943156783601,,1,2.705600000143052
