experiment,agreement,metric,n_participants,mean,ci_low,ci_high
exp1,internal,FM,67,0.7174942982790212,0.6902017819884907,0.740314199108462
exp1,internal,ARI,67,0.5535266293769021,0.5154415027480597,0.5924505163155577
exp1,interparticipant,FM,67,0.6028554612238336,0.5816686796097827,0.6190298624304977
exp1,interparticipant,ARI,67,0.40906731933504814,0.38655850385806817,0.43081851469313265
exp2,internal,FM,71,0.6673667145476503,0.6481650070164454,0.6870995295053763
exp2,internal,ARI,71,0.5381916464855209,0.5143653293950696,0.5630670471404539
exp2,interparticipant,FM,71,0.6033595585334772,0.5961533609002587,0.6101853374370418
exp2,interparticipant,ARI,71,0.4431936576285097,0.4332527624348793,0.45272236805649313
exp3,internal,FM,67,0.7060893228462273,0.6856172586580405,0.7269685530073247
exp3,internal,ARI,67,0.5318081970568881,0.5046216861401644,0.5604482833598605
exp3,interparticipant,FM,67,0.622478961777299,0.6123901596729201,0.6320870546394619
exp3,interparticipant,ARI,67,0.39741205161004156,0.3849543223223094,0.40969733258010976
exp4,internal,FM,73,0.6744862823762264,0.6574720178505805,0.6915810222418234
exp4,internal,ARI,73,0.5018580389603536,0.4764276752974632,0.5270932073652849
exp4,interparticipant,FM,73,0.6164442401949276,0.6106129827601013,0.6221233794003044
exp4,interparticipant,ARI,73,0.4132714008296776,0.4034500052190595,0.4229002394203187
