covariate_set,n_covariates,auc,condition,slope,ci_lo,ci_hi,human_mean_slope,mean_diff,t,df,p,dz,BF10,BF01
full,9,0.6695951286228827,exp3,0.035278181818181806,0.0316210181818181,0.03875400909090902,0.0328224946695096,-0.0024556871486722106,-0.42465807195319705,66,0.6724671380541332,-0.05188024069194196,0.14619239340814255,6.840301172224344
full,9,0.6695951286228827,exp4,0.027985818181818143,0.024184945454545387,0.03189175454545451,0.0287910978727797,0.0008052796909615558,0.2153805647353844,72,0.8300795704527847,0.025208388380379854,0.13162306924257114,7.597452374834668
process_only,7,0.6532775313687111,exp3,0.039446909090909095,0.03566938181818177,0.04309652727272722,0.0328224946695096,-0.006624414421399499,-1.1455494473436947,66,0.25611844784166515,-0.1399511394646517,0.25051224242921716,3.9918208799019173
process_only,7,0.6532775313687111,exp4,0.02838872727272728,0.024783518181818117,0.032357172727272704,0.0287910978727797,0.00040237060005241724,0.10761826983209294,72,0.9145978310257635,0.012595765760410887,0.12943249686768193,7.726034992759925
process_no_npoints,6,0.6368609109554171,exp3,-0.0019432727272727837,-0.005905036363636429,0.001786990909090888,0.0328224946695096,0.034765767396782374,6.011988848283697,66,8.831792452413165e-08,0.7344813370711226,151997.7476224362,6.57904485850678e-06
process_no_npoints,6,0.6368609109554171,exp4,-0.01427927272727279,-0.01857005454545454,-0.01023588181818192,0.0287910978727797,0.04307037060005248,11.519625848411549,72,5.3253770483702435e-18,1.3482702245682865,1062136651296713.9,9.41498439752687e-16
process_plus_Q,8,0.6697721689560953,exp3,0.03534727272727268,0.031586090909090855,0.038996509090909064,0.0328224946695096,-0.0025247780577630817,-0.43660585294797355,66,0.6638222618872307,-0.05333989445736464,0.1469158172473411,6.8066190471271275
process_plus_Q,8,0.6697721689560953,exp4,0.02810727272727268,0.024208581818181755,0.03206931818181814,0.0287910978727797,0.00068382514550702,0.18289626284216037,72,0.8553934505965357,0.02140638842093148,0.13080466110720881,7.644987506831962
process_plus_dQ,8,0.6552266384679651,exp3,0.038236727272727214,0.03444611818181811,0.041693672727272715,0.0328224946695096,-0.005414232603217618,-0.9362746307613768,66,0.352545169943722,-0.11438415140502224,0.20382486067494898,4.906172861782334
process_plus_dQ,8,0.6552266384679651,exp4,0.02732581818181818,0.02338000909090907,0.031181909090909066,0.0287910978727797,0.0014652796909615177,0.39190454059227936,72,0.696286353704658,0.0458689570222929,0.13859850817735045,7.215084874653928
fixed_k=3,0,,exp3,0.0,0.0,0.0,0.0328224946695096,0.0328224946695096,5.675941787040947,66,3.3359750079246016e-07,0.6934266543215266,43247.33197761421,2.3122813692128396e-05
fixed_k=3,0,,exp4,0.0,0.0,0.0,0.0287910978727797,0.0287910978727797,7.7004834330126615,72,5.549546276818235e-11,0.9012734149645999,170923450.58729443,5.8505722682522e-09
