condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp3,person_001,12.5,2.03125,3.8086374999999997,20
exp3,person_001,22.5,2.09375,4.2342625,20
exp3,person_001,32.5,2.15625,4.6135,20
exp3,person_001,40.0,2.1875,4.85005,20
exp3,person_002,12.5,2.0,3.8252875000000004,20
exp3,person_002,22.5,2.0,4.2743625000000005,20
exp3,person_002,32.5,2.0,4.6708750000000006,20
exp3,person_002,40.0,2.0,4.9112124999999995,20
exp3,person_003,12.5,2.65625,3.7736375000000004,20
exp3,person_003,22.5,2.75,4.1824125,20
exp3,person_003,32.5,2.96875,4.562075,20
exp3,person_003,40.0,3.3125,4.78155,20
exp3,person_008,12.5,3.53125,3.7624125,20
exp3,person_008,22.5,4.125,4.158424999999999,20
exp3,person_008,32.5,3.75,4.520262499999999,20
exp3,person_008,40.0,3.9375,4.7155375,20
exp3,person_009,12.5,2.25,3.7932375,20
exp3,person_009,22.5,2.5,4.2078125,20
exp3,person_009,32.5,2.5625,4.5876,20
exp3,person_009,40.0,2.4375,4.816387499999999,20
exp3,person_011,12.5,2.0,3.8283499999999995,20
exp3,person_011,22.5,2.0,4.25835,20
exp3,person_011,32.5,2.0,4.661075,20
exp3,person_011,40.0,2.0,4.8713500000000005,20
exp3,person_012,12.5,3.0,3.8185625,20
exp3,person_012,22.5,3.40625,4.2317,20
exp3,person_012,32.5,3.59375,4.57735,20
exp3,person_012,40.0,3.1875,4.788,20
exp3,person_013,12.5,2.8125,3.808675,20
exp3,person_013,22.5,3.34375,4.2161375,20
exp3,person_013,32.5,3.6875,4.5802625,20
exp3,person_013,40.0,4.3125,4.824450000000001,20
exp3,person_014,12.5,4.6875,3.802675,20
exp3,person_014,22.5,5.3125,4.2208,20
exp3,person_014,32.5,5.59375,4.5825625,20
exp3,person_014,40.0,5.25,4.799825,20
exp3,person_015,12.5,2.0,3.814075,20
exp3,person_015,22.5,2.0,4.239974999999999,20
exp3,person_015,32.5,2.0,4.6341625,20
exp3,person_015,40.0,2.0,4.8286375,20
exp3,person_017,12.5,2.0,3.8272500000000003,20
exp3,person_017,22.5,2.0,4.245175,20
exp3,person_017,32.5,2.0,4.6490875,20
exp3,person_017,40.0,2.0,4.8643,20
exp3,person_023,12.5,3.34375,3.8465249999999997,20
exp3,person_023,22.5,3.890625,4.263199999999999,20
exp3,person_023,32.5,4.5,4.6486625,20
exp3,person_023,40.0,4.46875,4.8609625,20
exp3,person_024,12.5,2.625,3.8346625000000003,20
exp3,person_024,22.5,2.78125,4.279287500000001,20
exp3,person_024,32.5,3.09375,4.6965875,20
exp3,person_024,40.0,3.375,4.89185,20
exp3,person_025,12.5,2.0,3.8338875000000003,20
exp3,person_025,22.5,2.0,4.259675,20
exp3,person_025,32.5,2.0,4.63165,20
exp3,person_025,40.0,2.0,4.85365,20
exp3,person_033,12.5,2.0,3.8498375000000005,20
exp3,person_033,22.5,2.0,4.2741,20
exp3,person_033,32.5,2.0,4.656712499999999,20
exp3,person_033,40.0,2.0,4.8973875,20
exp3,person_034,12.5,2.84375,3.772475,20
exp3,person_034,22.5,2.9375,4.1828125,20
exp3,person_034,32.5,3.40625,4.545275,20
exp3,person_034,40.0,3.125,4.77975,20
exp3,person_039,12.5,2.0625,3.85655,20
exp3,person_039,22.5,2.15625,4.285525,20
exp3,person_039,32.5,2.375,4.65205,20
exp3,person_039,40.0,2.0625,4.8502625,20
exp3,person_043,12.5,2.5625,3.8171125000000004,20
exp3,person_043,22.5,3.4375,4.246675,20
exp3,person_043,32.5,3.375,4.602575,20
exp3,person_043,40.0,4.3125,4.7934375000000005,20
exp3,person_044,12.5,2.78125,3.8132875,20
exp3,person_044,22.5,3.59375,4.2073374999999995,20
exp3,person_044,32.5,4.4375,4.589612499999999,20
exp3,person_044,40.0,4.3125,4.8385,20
exp3,person_050,12.5,5.3125,3.727825,20
exp3,person_050,22.5,6.5625,4.154425,20
exp3,person_050,32.5,7.46875,4.5431875,20
exp3,person_050,40.0,8.3125,4.710687500000001,20
exp3,person_051,12.5,2.0,3.85095,20
exp3,person_051,22.5,2.0,4.2966999999999995,20
exp3,person_051,32.5,2.0,4.700162499999999,20
exp3,person_051,40.0,2.0,4.92005,20
exp3,person_054,12.5,2.0,3.8451250000000003,20
exp3,person_054,22.5,2.0,4.2835374999999996,20
exp3,person_054,32.5,2.0,4.6729875,20
exp3,person_054,40.0,2.0,4.89925,20
exp3,person_055,12.5,2.53125,3.839325,20
exp3,person_055,22.5,2.8125,4.2765125,20
exp3,person_055,32.5,3.28125,4.6475875,20
exp3,person_055,40.0,3.5625,4.8568625,20
exp3,person_056,12.5,2.8125,3.8648625,20
exp3,person_056,22.5,3.4375,4.301699999999999,20
exp3,person_056,32.5,3.46875,4.6987499999999995,20
exp3,person_056,40.0,3.375,4.934525,20
exp3,person_058,12.5,2.0,3.86265,20
exp3,person_058,22.5,2.03125,4.2751624999999995,20
exp3,person_058,32.5,2.03125,4.6910875,20
exp3,person_058,40.0,2.0625,4.91855,20
exp3,person_059,12.5,2.71875,3.8501624999999997,20
exp3,person_059,22.5,3.34375,4.280825,20
exp3,person_059,32.5,3.625,4.6772374999999995,20
exp3,person_059,40.0,3.4375,4.8862499999999995,20
exp3,person_060,12.5,3.375,3.8104999999999998,20
exp3,person_060,22.5,3.65625,4.2402875,20
exp3,person_060,32.5,3.96875,4.6209625,20
exp3,person_060,40.0,3.875,4.8368625000000005,20
exp3,person_061,12.5,2.1875,3.8062875,20
exp3,person_061,22.5,2.09375,4.2368875,20
exp3,person_061,32.5,2.125,4.616025,20
exp3,person_061,40.0,2.0,4.840675,20
exp3,person_062,12.5,4.09375,3.8320875,20
exp3,person_062,22.5,4.9375,4.257875,20
exp3,person_062,32.5,3.875,4.6580625,20
exp3,person_062,40.0,4.4375,4.912025,20
exp3,person_064,12.5,4.75,3.7839,20
exp3,person_064,22.5,7.3125,4.165850000000001,20
exp3,person_064,32.5,10.15625,4.529175,20
exp3,person_064,40.0,12.125,4.72305,20
exp3,person_066,12.5,2.5625,3.8189625,20
exp3,person_066,22.5,3.3125,4.2260125,20
exp3,person_066,32.5,3.71875,4.600887500000001,20
exp3,person_066,40.0,3.625,4.819100000000001,20
exp3,person_070,12.5,4.5,3.7950875,20
exp3,person_070,22.5,6.09375,4.214650000000001,20
exp3,person_070,32.5,6.71875,4.6090125,20
exp3,person_070,40.0,7.5,4.8319375,20
exp3,person_074,12.5,2.34375,3.8373125000000003,20
exp3,person_074,22.5,2.6875,4.2536375,20
exp3,person_074,32.5,3.609375,4.6450125,20
exp3,person_074,40.0,4.25,4.840775,20
exp3,person_075,12.5,2.4375,3.7994250000000003,20
exp3,person_075,22.5,2.21875,4.215425,20
exp3,person_075,32.5,2.625,4.60815,20
exp3,person_075,40.0,2.25,4.824575,20
exp3,person_079,12.5,3.5625,3.8407625000000003,20
exp3,person_079,22.5,3.8125,4.267575,20
exp3,person_079,32.5,3.9375,4.6560749999999995,20
exp3,person_079,40.0,4.0625,4.87815,20
exp3,person_080,12.5,4.3125,3.8295125,20
exp3,person_080,22.5,6.1875,4.2650500000000005,20
exp3,person_080,32.5,8.40625,4.6328375,20
exp3,person_080,40.0,8.25,4.84255,20
exp3,person_082,12.5,2.96875,3.8165875,20
exp3,person_082,22.5,3.46875,4.254725,20
exp3,person_082,32.5,3.09375,4.6449875,20
exp3,person_082,40.0,3.5625,4.8505875000000005,20
exp3,person_084,12.5,3.5,3.835275,20
exp3,person_084,22.5,3.8125,4.2695375,20
exp3,person_084,32.5,3.96875,4.659475,20
exp3,person_084,40.0,4.125,4.8769,20
exp3,person_086,12.5,2.53125,3.7993499999999996,20
exp3,person_086,22.5,2.75,4.1932,20
exp3,person_086,32.5,2.71875,4.5980875,20
exp3,person_086,40.0,2.8125,4.8154,20
exp3,person_087,12.5,2.0,3.85935,20
exp3,person_087,22.5,2.03125,4.26675,20
exp3,person_087,32.5,2.03125,4.6652499999999995,20
exp3,person_087,40.0,2.0,4.8983375,20
exp3,person_088,12.5,2.53125,3.8305374999999997,20
exp3,person_088,22.5,3.0,4.24615,20
exp3,person_088,32.5,3.25,4.6258125,20
exp3,person_088,40.0,3.5,4.8398,20
exp3,person_089,12.5,2.0,3.8533625000000002,20
exp3,person_089,22.5,2.0,4.2722875,20
exp3,person_089,32.5,2.0,4.6537,20
exp3,person_089,40.0,2.0,4.8711625,20
exp3,person_092,12.5,2.0,3.8335125,20
exp3,person_092,22.5,2.21875,4.24775,20
exp3,person_092,32.5,2.1875,4.63335,20
exp3,person_092,40.0,2.0,4.8765125,20
exp3,person_095,12.5,2.375,3.8140375,20
