model,slope_k_vs_n,ARI_vs_human,k_mean,FM_vs_human,k_median,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
human (ref),0.06095467912956018,1.0,3.867071320182094,1.0,3.0,0.3623088301594782,0.8166666666666667,0.06095467912956018,0.2585724235564485,219.3975776254178,0.013073198930558567
GMM (ref),-0.323606556082453,0.24117970352413093,5.3647951441578146,0.5244925590693694,7.0,0.41181654415281255,0.9714285714285714,-0.323606556082453,1.3391757996455436,220.76350137001643,0.0
DBSCAN (ref),0.09370114742217768,0.3568347120232453,3.3520485584218513,0.6487711513985801,3.0,0.4647149523205244,0.7307692307692308,0.09370114742217768,0.18331975385456328,164.88193956307902,0.11530168364766241
A_attn_nc_s0,0.01380579412361304,0.47998652900119576,3.2078907435508346,0.6629080252689915,3.0,0.39987730999431426,0.7985347985347985,0.01380579412361304,0.29146794360725775,221.35418073759058,0.0
A_attn_nc_s1,0.013812292463859436,0.4788130639758401,3.2203338391502276,0.6599850067512724,3.0,0.3803479786240745,0.7870370370370371,0.013812292463859436,0.29161923971382403,218.33970495848493,0.0
A_attn_nc_s2,0.011790331553885277,0.4710074141121269,3.322913505311077,0.6544383748618312,3.0,0.38114108985134804,0.7916666666666666,0.011790331553885277,0.2923783247136092,219.28952635913893,0.0
A_attn_s0,0.016893891071621446,0.47080938801449734,3.20546282245827,0.6580631956732584,3.0,0.36299625187542994,0.7666666666666666,0.016893891071621446,0.28372638030112085,217.69990277410193,0.0
A_attn_s1,0.004190920834889568,0.48087405163855396,3.1484066767830043,0.663823337648168,3.0,0.4128440788898991,0.7835497835497836,0.004190920834889568,0.3309381132697091,221.35418073759058,0.0
A_attn_s2,0.011330502037942362,0.4771799505129337,3.2230652503793626,0.6595456350200273,3.0,0.39753538650411074,0.7936507936507936,0.011330502037942362,0.295088306041533,218.88370588141265,0.0
A_base_s0,0.002061854428210686,0.44559175371348053,3.3332321699544765,0.6367137953049226,3.0,0.36864334225392764,0.7773809523809524,0.002061854428210686,0.30140675123789334,219.78586355582388,0.0
A_base_s1,0.02247674166393803,0.44517522455776926,3.285887708649469,0.6367396441634006,3.0,0.35251985784181117,0.7777777777777778,0.02247674166393803,0.2689985017009138,218.24272658444474,0.0
A_base_s2,0.022162847068087566,0.43458646980363436,3.2698027314112292,0.6306831830102722,3.0,0.365031638833176,0.7685185185185185,0.022162847068087566,0.27216826346703094,218.21208830703733,0.0
A_dpool_nc_s0,0.03275763794232939,0.47117248196648615,3.423975720789074,0.6560950715097507,3.0,0.39097861700797426,0.7985347985347985,0.03275763794232939,0.22727788018296566,229.8892434374034,0.0
A_dpool_nc_s1,0.008921993615832777,0.4630707571157271,3.2971168437025797,0.6499398375119119,3.0,0.36536115449457673,0.7916666666666666,0.008921993615832777,0.2989844212944717,224.82182516274688,0.0
A_dpool_nc_s2,0.007035594374270686,0.44386573794427436,3.2998482549317147,0.6387189036420622,3.0,0.3730974483598572,0.7888888888888889,0.007035594374270686,0.3001424414766255,220.75500414641007,0.0
A_dpool_s0,-0.008733548441111688,0.47509581357647956,3.2758725341426405,0.6579143921782776,3.0,0.3830658730162441,0.769047619047619,-0.008733548441111688,0.3656989772486954,210.06704630734964,0.0
A_dpool_s1,0.014348910811919942,0.4653660350979513,3.2303490136570563,0.6560893316045414,3.0,0.36864334225392764,0.7773809523809524,0.014348910811919942,0.2900699025545677,220.27444971279965,0.0
A_dpool_s2,0.006797665442823571,0.4735292541135712,3.287101669195751,0.6591113267742601,3.0,0.3604458639935722,0.7835497835497836,0.006797665442823571,0.29637759247358086,218.88370588141262,0.0
A_ncount_s0,0.01821455324379249,0.463340601663225,3.2121396054628226,0.651868135546057,3.0,0.3847617608204582,0.7857142857142857,0.01821455324379249,0.28308988928974405,211.30612737890746,0.0
A_ncount_s1,0.013513917591007112,0.4317355406590088,3.252503793626707,0.6276207806675022,3.0,0.34093544011791654,0.7954545454545454,0.013513917591007112,0.28984881007983987,210.24381666705742,0.0
A_ncount_s2,-1.0819392032093843e-16,0.42114616347458605,3.0,0.6313142282801648,3.0,0.36864334225392764,0.734920634920635,-1.0819392032093843e-16,0.33333333333333565,216.59024253826615,0.0
