model,slope_k_vs_n,ARI_vs_human,k_mean,FM_vs_human,k_median,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
human (ref),0.06095467912956018,1.0,3.867071320182094,1.0,3.0,0.3623088301594782,0.8166666666666667,0.06095467912956018,0.2585724235564485,219.3975776254178,0.013073198930558567
GMM (ref),-0.323606556082453,0.24117970352413093,5.3647951441578146,0.5244925590693694,7.0,0.41181654415281255,0.9714285714285714,-0.323606556082453,1.3391757996455436,220.76350137001643,0.0
DBSCAN (ref),0.09370114742217768,0.3568347120232453,3.3520485584218513,0.6487711513985801,3.0,0.4647149523205244,0.7307692307692308,0.09370114742217768,0.18331975385456328,164.88193956307902,0.11530168364766241
CAP0_s0,0.002061854428210686,0.44559175371348053,3.3332321699544765,0.6367137953049226,3.0,0.36864334225392764,0.7773809523809524,0.002061854428210686,0.30140675123789334,219.78586355582388,0.0
CAP0_s1,0.02247674166393803,0.44517522455776926,3.285887708649469,0.6367396441634006,3.0,0.35251985784181117,0.7777777777777778,0.02247674166393803,0.2689985017009138,218.24272658444474,0.0
CAP0_s2,0.022162847068087566,0.43458646980363436,3.2698027314112292,0.6306831830102722,3.0,0.365031638833176,0.7685185185185185,0.022162847068087566,0.27216826346703094,218.21208830703733,0.0
CAP0.5_s0,0.18568386197097161,0.3732005875060596,5.42701062215478,0.554848776121836,5.0,0.3129079567677177,0.9027777777777777,0.18568386197097161,0.04302066807403591,237.60158698705482,0.0
CAP0.5_s1,0.19532479554488405,0.3691267676698925,5.414871016691958,0.5521285906732671,5.0,0.25827268420304705,0.9333333333333332,0.19532479554488405,0.040907606763458365,223.3521141237208,0.0
CAP0.5_s2,0.19420357419421583,0.36964052518257035,5.4358118361153265,0.552377753576904,5.0,0.3089756063626256,0.9166666666666666,0.19420357419421583,0.04102430332192778,222.15751144727884,0.0
CAP1_s0,0.21489427615349588,0.3291271554555256,5.478907435508346,0.5226075301640783,5.0,0.2286342484586951,0.9107142857142857,0.21489427615349588,0.018494997382790816,215.01099343459134,0.0
CAP1_s1,0.23373463094011926,0.3602148689026558,5.728679817905918,0.5476611359875959,5.0,0.25657769308900163,0.9107142857142857,0.23373463094011926,0.022308952618344136,218.97941707446222,0.0
CAP1_s2,0.22369737892022987,0.37463690208195655,5.436115326251897,0.5564374352415248,5.0,0.24978852394368434,0.9,0.22369737892022987,0.021502776813776745,228.2758976780638,0.0
CAP2_s0,0.23471470914372894,0.34797483964671033,5.732018209408194,0.5340967558859986,5.0,0.21312256717332975,0.9199999999999999,0.23471470914372894,0.021719180477828157,211.3359192189153,0.0
CAP2_s1,0.027368479382359142,0.3797572264935108,3.5990895295902883,0.5994811307550363,4.0,0.19584113619146326,0.825,0.027368479382359142,0.2328082772569865,191.7466322822281,0.0
CAP2_s2,0.2325614228674808,0.3619828243610265,5.650075872534143,0.5477481501927506,5.0,0.26453915362525016,0.9027777777777778,0.2325614228674808,0.018523174836432274,219.7936350784667,0.0
CAP4_s0,0.20537914669899543,0.32765202053336256,5.690743550834598,0.5153691947152356,6.0,0.27074808121908295,0.9333333333333332,0.20537914669899543,0.03698550713915528,226.96142842960174,0.0
CAP4_s1,0.06029286567234679,0.39197888928907176,4.352655538694992,0.5932105113185876,4.0,0.23775063293045404,0.8672727272727272,0.06029286567234679,0.16529236362927482,211.45789460527809,0.0
CAP4_s2,0.23480057959038175,0.3701027721441485,5.768740515933232,0.551758648616869,5.0,0.2522373816754586,0.9055555555555554,0.23480057959038175,0.021084470646184066,224.14460080345282,0.0
