model,slope_k_vs_n,ARI_vs_human,k_mean,FM_vs_human,k_median,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
human (ref),0.06095467912956018,1.0,3.867071320182094,1.0,3.0,0.3623088301594782,0.8166666666666667,0.06095467912956018,0.2585724235564485,219.3975776254178,0.013073198930558567
GMM (ref),-0.323606556082453,0.24117970352413093,5.3647951441578146,0.5244925590693694,7.0,0.41181654415281255,0.9714285714285714,-0.323606556082453,1.3391757996455436,220.76350137001643,0.0
DBSCAN (ref),0.09370114742217768,0.3568347120232453,3.3520485584218513,0.6487711513985801,3.0,0.4647149523205244,0.7307692307692308,0.09370114742217768,0.18331975385456328,164.88193956307902,0.11530168364766241
CAP0.1_s0,0.13944909467278777,0.3893722508007816,4.619119878603946,0.5754313428240254,4.0,0.30049572709981176,0.8666666666666667,0.13944909467278777,0.07501988596963277,209.76699672197628,0.0
CAP0.1_s1,0.11933936173181692,0.4014888768647992,4.736874051593324,0.5815817208778022,5.0,0.32429114375953133,0.8785714285714286,0.11933936173181692,0.09721605961840157,224.06631658824054,0.0
CAP0.1_s2,0.15230409662463215,0.4057975804385238,4.500758725341426,0.5909717593188106,4.0,0.29894458865991613,0.8666666666666667,0.15230409662463215,0.05172360499897925,214.3927170622413,0.0
CAP0.15_s0,0.12196052850579706,0.39435871343119244,4.7147192716236725,0.5754288431265449,4.0,0.3051961401656618,0.8500000000000001,0.12196052850579706,0.09415973549412894,216.10325549675355,0.0
CAP0.15_s1,0.12602705732198727,0.35688551827314613,4.901972685887709,0.5451850442349715,4.0,0.251846563601894,0.8875000000000001,0.12602705732198727,0.09171230562785096,212.4538070835715,0.0
CAP0.15_s2,0.1647374560115583,0.37357834577704535,4.813960546282246,0.560208919606202,5.0,0.2670455141316748,0.8600000000000001,0.1647374560115583,0.054692968130754596,214.9753623053999,0.0
CAP0.2_s0,0.19279827967317342,0.3426813842525097,5.146585735963582,0.5318192543920707,4.0,0.27065972806279326,0.9285714285714286,0.19279827967317342,0.03448489843695825,224.08285622134034,0.0
CAP0.2_s1,0.17848223533802973,0.383562180336679,5.098634294385432,0.5669491035620039,5.0,0.2797601648736653,0.8866666666666667,0.17848223533802973,0.04993859405478439,222.612814366381,0.0
CAP0.2_s2,0.17452463235690382,0.38874176915853476,5.1271623672230655,0.575080333301535,4.0,0.26993642155096037,0.8928571428571428,0.17452463235690382,0.052226244454545045,222.9246884249845,0.0
CAP0.3_s0,0.182357273928199,0.3339310977021859,5.2364188163884675,0.5248179730582321,5.0,0.21218145515053363,0.9055555555555556,0.182357273928199,0.048671574739628014,208.22358084924755,0.0
CAP0.3_s1,0.20059482902104062,0.3854122255522872,5.324734446130501,0.56488598957835,5.0,0.32253234009368287,0.9068027210884353,0.20059482902104062,0.03218374615863461,232.45464319214545,0.0
CAP0.3_s2,0.20565989373641175,0.40170352451464175,5.434294385432473,0.5793389769469223,5.0,0.29375541165428226,0.9166666666666667,0.20565989373641175,0.031117632189652675,226.7042426016662,0.0
