lambda,n_seed,slope_k_mean,slope_k_sem,slope_num_mean,slope_num_sem,ARI_mean,ARI_sem
0.00000,5,0.01508,0.00371,0.28429,0.00603,0.45202,0.00678
0.01000,5,0.04693,0.00394,0.19606,0.00537,0.45286,0.00547
0.02000,5,0.03765,0.00479,0.20848,0.00677,0.42991,0.00481
0.03000,5,0.04436,0.00472,0.20050,0.00637,0.43350,0.00397
0.04000,5,0.07693,0.00413,0.14610,0.00631,0.42869,0.00775
0.05000,5,0.05128,0.01729,0.18029,0.02492,0.41535,0.00794
0.06000,5,0.04294,0.01557,0.19577,0.02383,0.40949,0.00732
0.07000,5,0.05385,0.01588,0.17792,0.02349,0.40988,0.00827
0.08000,5,0.10023,0.02040,0.11866,0.02391,0.40252,0.00300
0.10000,5,0.12184,0.01361,0.09246,0.01562,0.39752,0.00292
