model,slope_k_vs_n,ARI_vs_human,k_mean,FM_vs_human,k_median,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
human (ref),0.06095467912956018,1.0,3.867071320182094,1.0,3.0,0.3623088301594782,0.8166666666666667,0.06095467912956018,0.2585724235564485,219.3975776254178,0.013073198930558567
GMM (ref),-0.323606556082453,0.24117970352413093,5.3647951441578146,0.5244925590693694,7.0,0.41181654415281255,0.9714285714285714,-0.323606556082453,1.3391757996455436,220.76350137001643,0.0
DBSCAN (ref),0.09370114742217768,0.3568347120232453,3.3520485584218513,0.6487711513985801,3.0,0.4647149523205244,0.7307692307692308,0.09370114742217768,0.18331975385456328,164.88193956307902,0.11530168364766241
CAP0.01_s0,0.04578654913170232,0.4597307836577842,3.645827010622155,0.6414408345883107,4.0,0.36959684542017784,0.7833333333333332,0.04578654913170232,0.20140000806659866,226.70424260166615,0.0
CAP0.01_s1,0.04854510460487439,0.44119166470567417,3.609711684370258,0.6280922729198649,4.0,0.3622464531776944,0.825,0.04854510460487439,0.19686340586957957,229.79411736699956,0.0
CAP0.01_s2,0.039205477183966254,0.4380366373586253,3.672534142640364,0.6248317342817608,4.0,0.3634819112618982,0.8095238095238095,0.039205477183966254,0.1997989580169085,238.20227746253966,0.0
CAP0.01_s3,0.06107901760889683,0.46405422828451204,3.525341426403642,0.6464379030346364,4.0,0.39097861700797426,0.8059523809523809,0.06107901760889683,0.1755533951306986,238.48979631205935,0.0
CAP0.01_s4,0.04004706243901156,0.46127174165469464,3.6928679817905916,0.639859761375061,4.0,0.3869624989050993,0.8080357142857143,0.04004706243901156,0.20668496229412336,228.47447716579322,0.0
CAP0.02_s0,0.03131251013483404,0.4245333525180689,3.789681335356601,0.6100824020449725,4.0,0.33727505297701404,0.8166666666666667,0.03131251013483404,0.21953652601496795,227.06592756267855,0.0
CAP0.02_s1,0.053015065909968385,0.4225627201346788,3.597268588770865,0.6136563451636603,4.0,0.34076348780852034,0.8583333333333334,0.053015065909968385,0.18444727611907322,226.70424260166615,0.0
CAP0.02_s2,0.04404974556421399,0.43371119284388643,3.6919575113808802,0.6197475793466708,4.0,0.3662708752420707,0.8380952380952381,0.04404974556421399,0.2025332133114663,226.70424260166615,0.0
CAP0.02_s3,0.03330311036263112,0.4216083977819556,3.7732928679817905,0.607889281661202,4.0,0.32139786131048426,0.8083333333333333,0.03330311036263112,0.2172554228738602,225.9467991067249,0.0
CAP0.02_s4,0.02654610137397465,0.4471153995037477,3.7380880121396056,0.6273502891251054,4.0,0.36864334225392764,0.8194444444444444,0.02654610137397465,0.21864121122012983,229.36515564679448,0.0
CAP0.03_s0,0.052875910411780705,0.4295355262650247,3.61608497723824,0.6156247925187303,4.0,0.3412673661564762,0.8125,0.052875910411780705,0.19104018026614544,217.42519621314636,0.0
CAP0.03_s1,0.043706444472954166,0.4334771979929649,3.817298937784522,0.6181141000485526,4.0,0.3573692805357472,0.8166666666666667,0.043706444472954166,0.198606901299805,230.72530460016438,0.0
CAP0.03_s2,0.031467091662134065,0.42097361606190187,3.78907435508346,0.6077662517372872,4.0,0.3235254011218859,0.8583333333333334,0.031467091662134065,0.21943536450301554,226.885139897595,0.0
CAP0.03_s3,0.0370407669460288,0.44357735288372435,3.712898330804249,0.6245375937194306,4.0,0.353475392545773,0.8015873015873017,0.0370407669460288,0.2095912267365064,224.23753428608552,0.0
CAP0.03_s4,0.05669621838759958,0.43992678591586315,3.631562974203338,0.6250002828675886,4.0,0.36864334225392764,0.8055555555555556,0.05669621838759958,0.18383760275179914,232.41797317419957,0.0
CAP0.04_s0,0.06523219988493074,0.4276062796061356,3.9289833080424885,0.6115275246055051,4.0,0.3193226916535354,0.8166666666666667,0.06523219988493074,0.16298547068830327,217.47309830445334,0.0
CAP0.04_s1,0.0849685626896092,0.4501017700193863,4.079817905918057,0.6287024434184367,4.0,0.3587713236133393,0.8333333333333334,0.0849685626896092,0.1312256023630133,226.7042426016662,0.0
