model,n_trials,ARI_vs_human,FM_vs_human,k_median,k_mean,sil_median,ch_median,slope_k_vs_n,slope_num_vs_n,radial_median,unassigned
human (ref),3295,1.0,1.0,3.0,3.867071320182094,0.3623088301594782,0.8166666666666667,0.06095467912956018,0.2585724235564485,219.3975776254178,0.013073198930558567
GMM (ref),3295,0.24117970352413093,0.5244925590693694,7.0,5.3647951441578146,0.41181654415281255,0.9714285714285714,-0.323606556082453,1.3391757996455436,220.76350137001643,0.0
DBSCAN (ref),3295,0.3568347120232453,0.6487711513985801,3.0,3.3520485584218513,0.4647149523205244,0.7307692307692308,0.09370114742217768,0.18331975385456328,164.88193956307902,0.11530168364766241
H_full,3295,0.41889627084546066,0.6262936310012924,3.0,2.9396054628224584,0.3845068960223061,0.7676767676767676,0.0109926084223974,0.3150123192960057,207.0402685067371,0.0
H_funnel,3295,0.27559613133300925,0.5765923256878701,3.0,3.3053110773899848,0.2802896566320349,0.8125,0.036053414081401676,0.23335994630091214,234.11161073475375,0.0
H_lasso,3295,0.42731889122659233,0.6175380822887536,4.0,3.6018209408194233,0.3387429495201293,0.825,0.00711315952715889,0.27890603620853976,223.99667932342402,0.0
H_nogru,3295,0.45494977291405714,0.6429522506341466,3.0,3.273444613050076,0.36864334225392764,0.7666666666666666,0.01040805895915329,0.29301744250000816,217.3084692408528,0.0
H_noscan,3295,0.4566848021932502,0.6463105050451466,3.0,3.314112291350531,0.3794698872265391,0.7638888888888888,0.045014156811575924,0.21683355778596222,223.33321702071598,0.0
H_s0,3295,0.44559175371348053,0.6367137953049226,3.0,3.3332321699544765,0.36864334225392764,0.7773809523809524,0.002061854428210686,0.30140675123789334,219.78586355582388,0.0
H_s1,3295,0.44517522455776926,0.6367396441634006,3.0,3.285887708649469,0.35251985784181117,0.7777777777777778,0.02247674166393803,0.2689985017009138,218.24272658444474,0.0
H_s2,3295,0.43458646980363436,0.6306831830102722,3.0,3.2698027314112292,0.365031638833176,0.7685185185185185,0.022162847068087566,0.27216826346703094,218.21208830703733,0.0
H_voronoi,3295,0.41012552711760997,0.6327718871698049,3.0,2.909559939301973,0.2928476829536995,0.7777777777777777,0.03694716006134837,0.2548092876563164,184.68014000976552,0.0
R_dbscan,3295,0.31006670594468994,0.5783042897471682,3.0,3.38361153262519,0.2651353771881766,0.8257575757575757,0.08120849988258233,0.15471905152072976,217.75973057452865,0.0
R_gmm,3295,0.2181605841289456,0.4654171988211059,8.0,6.7280728376327765,0.21444735151584,1.0,-0.1866333758904359,0.9324176873333915,219.62515812960822,0.0
R_shuffle,3295,0.15482852177629308,0.5152745454395252,2.0,1.9987860394537178,0.22074786696154916,0.5808823529411764,2.249322509553884e-05,0.500463901853785,127.10348959765516,0.0
