j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
10,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_123547_1779006855371.json,lasso,20,0.4440422820318539,0.1968467953844396,0.6749914471433459,0.46028860356777634,0.16159809183064996,0.16110041888373142,0.5453533667223149,0.1196388261851016,0.0,0.20549938975702992,0.0782026106041354,0.1991951301967373,0.41181654415281255,nan,3.0,8.0,1.0
12,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_123547_1779006855371.json,lasso,10,0.3892035888264478,0.3697478991596639,0.39893143365983974,0.39893143365983974,0.10215482841181164,1.0,0.09569377990430619,0.05003909304143862,0.0,0.3486748699435257,0.39893143365983974,0.577077725279484,0.36641621587983275,0.9210809893518893,2.0,8.0,3.0
14,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_123547_1779006855371.json,lasso,15,0.5098093469706364,0.14634146341463417,0.6293027360988526,0.7537838413984225,0.1814780168381665,0.31459958605317623,0.38896189224704336,0.4556451612903226,0.19546045973688012,0.3330510786919486,0.49656035021888684,0.19481993285683566,0.42048053002816743,0.3468107680518694,5.0,7.0,2.0
25,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_123547_1779006855371.json,lasso,15,0.7750535586765054,0.7750535586765055,0.7750535586765055,0.7750535586765055,0.3756558237145855,0.1381668946648427,0.2058660763696735,0.5225603357817419,0.7750535586765055,0.6122456145750265,0.7750535586765055,0.393808249300184,0.3224844024675161,0.6443316798728668,5.0,8.0,3.0
49,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_123547_1779006855371.json,lasso,35,0.5825561295957452,0.6446600410159331,0.5515041738856513,0.5515041738856513,0.0,0.6148086850297514,0.037837409958046395,0.0,0.7933884297520661,0.5080132028026826,0.7085254818493555,0.48112843176422176,nan,0.37352842568677297,2.0,1.0,3.0
51,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_123547_1779006855371.json,lasso,30,0.38125275224423233,0.5458859257853279,0.38145795810029387,0.21641437284707515,0.3728096485965965,0.5919367588932806,-0.01636588537536877,0.5219376109561248,0.15695556039986297,0.3714757869947197,0.5096861865183453,0.4860369752569359,0.467277586086515,0.6895941852145598,2.0,2.0,9.0
53,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_123547_1779006855371.json,lasso,30,0.4762307801079379,0.46527636740671063,0.6330760114033122,0.3303399615137909,0.12872587870434185,0.40750313703199237,0.04020142943107795,0.0,0.05677114133648736,0.2941442085350549,0.5664869962172763,0.4292528343764447,nan,0.12888205544791959,2.0,1.0,2.0
55,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_123547_1779006855371.json,lasso,25,0.21372247366779515,0.11553784860557774,0.2891566265060241,0.2364729458917836,0.07857142857142856,0.26900584795321636,0.08108108108108109,0.12389380530973453,0.49863574351978174,0.19879420501512707,0.414486921529175,0.39331375079963465,0.42427543967368275,0.4647149523205244,2.0,8.0,4.0
73,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_123547_1779006855371.json,lasso,15,0.3647686832740214,0.3647686832740214,0.3647686832740214,0.3647686832740214,0.12041884816753927,-0.09115770282588873,-0.06521739130434787,0.15706806282722513,0.3647686832740214,0.33733509803872186,0.3647686832740214,0.3492450054855628,0.3224844024675161,0.6443316798728668,2.0,8.0,3.0
79,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_123547_1779006855371.json,lasso,15,0.22279948264944963,0.1570327552986513,0.2076081934390882,0.3037574992106094,-0.02072141212586339,0.7344013490725126,0.07862407862407861,0.0963855421686747,1.0,0.260105878362736,0.325626204238921,0.3468107680518694,0.42048053002816743,0.3468107680518694,2.0,7.0,2.0
