sid,point_idx,x,y,cluster_id,n_clusters
clustering_data_123547_1779006855371.json,1,749,128,2,4
clustering_data_123547_1779006855371.json,2,57,166,3,4
clustering_data_123547_1779006855371.json,3,351,66,2,4
clustering_data_123547_1779006855371.json,4,576,168,2,4
clustering_data_123547_1779006855371.json,5,136,420,1,4
clustering_data_123547_1779006855371.json,6,363,472,1,4
clustering_data_123547_1779006855371.json,7,82,152,3,4
clustering_data_123547_1779006855371.json,8,742,163,2,4
clustering_data_123547_1779006855371.json,9,510,101,2,4
clustering_data_123547_1779006855371.json,10,248,101,3,4
clustering_data_123547_1779006855371.json,11,288,492,1,4
clustering_data_123547_1779006855371.json,12,693,427,2,4
clustering_data_123547_1779006855371.json,13,766,236,2,4
clustering_data_123547_1779006855371.json,14,673,385,2,4
clustering_data_123547_1779006855371.json,15,88,488,1,4
clustering_data_123547_1779006855371.json,16,123,438,1,4
clustering_data_123547_1779006855371.json,17,561,174,2,4
clustering_data_123547_1779006855371.json,18,76,413,1,4
clustering_data_123547_1779006855371.json,19,403,234,2,4
clustering_data_123547_1779006855371.json,20,761,284,2,4
clustering_data_123547_1779006855371.json,21,416,124,2,4
clustering_data_123547_1779006855371.json,22,30,419,4,4
clustering_data_123547_1779006855371.json,23,482,31,2,4
clustering_data_123547_1779006855371.json,24,450,266,2,4
clustering_data_123547_1779006855371.json,25,334,241,2,4
clustering_data_123547_1779006855371.json,26,557,197,2,4
clustering_data_123547_1779006855371.json,27,165,105,3,4
clustering_data_123547_1779006855371.json,28,552,79,2,4
clustering_data_123547_1779006855371.json,29,151,16,3,4
clustering_data_123547_1779006855371.json,30,357,301,2,4
clustering_data_144_1779008203482.json,1,749,128,1,3
clustering_data_144_1779008203482.json,2,57,166,1,3
clustering_data_144_1779008203482.json,3,351,66,1,3
clustering_data_144_1779008203482.json,4,576,168,1,3
clustering_data_144_1779008203482.json,5,136,420,3,3
clustering_data_144_1779008203482.json,6,363,472,3,3
clustering_data_144_1779008203482.json,7,82,152,1,3
clustering_data_144_1779008203482.json,8,742,163,1,3
clustering_data_144_1779008203482.json,9,510,101,1,3
clustering_data_144_1779008203482.json,10,248,101,1,3
clustering_data_144_1779008203482.json,11,288,492,3,3
clustering_data_144_1779008203482.json,12,693,427,1,3
clustering_data_144_1779008203482.json,13,766,236,1,3
clustering_data_144_1779008203482.json,14,673,385,1,3
clustering_data_144_1779008203482.json,15,88,488,3,3
clustering_data_144_1779008203482.json,16,123,438,3,3
clustering_data_144_1779008203482.json,17,561,174,1,3
clustering_data_144_1779008203482.json,18,76,413,3,3
clustering_data_144_1779008203482.json,19,403,234,1,3
clustering_data_144_1779008203482.json,20,761,284,1,3
clustering_data_144_1779008203482.json,21,416,124,1,3
clustering_data_144_1779008203482.json,22,30,419,3,3
clustering_data_144_1779008203482.json,23,482,31,1,3
clustering_data_144_1779008203482.json,24,450,266,1,3
clustering_data_144_1779008203482.json,25,334,241,1,3
clustering_data_144_1779008203482.json,26,557,197,1,3
clustering_data_144_1779008203482.json,27,165,105,1,3
clustering_data_144_1779008203482.json,28,552,79,1,3
clustering_data_144_1779008203482.json,29,151,16,2,3
clustering_data_144_1779008203482.json,30,357,301,1,3
clustering_data_1526_1778921090612.json,1,749,128,5,9
clustering_data_1526_1778921090612.json,2,57,166,8,9
clustering_data_1526_1778921090612.json,3,351,66,8,9
clustering_data_1526_1778921090612.json,4,576,168,6,9
clustering_data_1526_1778921090612.json,5,136,420,1,9
clustering_data_1526_1778921090612.json,6,363,472,3,9
clustering_data_1526_1778921090612.json,7,82,152,8,9
clustering_data_1526_1778921090612.json,8,742,163,5,9
clustering_data_1526_1778921090612.json,9,510,101,7,9
clustering_data_1526_1778921090612.json,10,248,101,8,9
clustering_data_1526_1778921090612.json,11,288,492,3,9
clustering_data_1526_1778921090612.json,12,693,427,4,9
clustering_data_1526_1778921090612.json,13,766,236,5,9
clustering_data_1526_1778921090612.json,14,673,385,4,9
clustering_data_1526_1778921090612.json,15,88,488,1,9
clustering_data_1526_1778921090612.json,16,123,438,1,9
clustering_data_1526_1778921090612.json,17,561,174,6,9
clustering_data_1526_1778921090612.json,18,76,413,1,9
clustering_data_1526_1778921090612.json,19,403,234,2,9
clustering_data_1526_1778921090612.json,20,761,284,5,9
clustering_data_1526_1778921090612.json,21,416,124,8,9
clustering_data_1526_1778921090612.json,22,30,419,1,9
clustering_data_1526_1778921090612.json,23,482,31,7,9
clustering_data_1526_1778921090612.json,24,450,266,2,9
clustering_data_1526_1778921090612.json,25,334,241,2,9
clustering_data_1526_1778921090612.json,26,557,197,6,9
clustering_data_1526_1778921090612.json,27,165,105,8,9
clustering_data_1526_1778921090612.json,28,552,79,7,9
clustering_data_1526_1778921090612.json,29,151,16,9,9
clustering_data_1526_1778921090612.json,30,357,301,2,9
clustering_data_157_1779023262276.json,1,749,128,2,4
clustering_data_157_1779023262276.json,2,57,166,1,4
clustering_data_157_1779023262276.json,3,351,66,1,4
clustering_data_157_1779023262276.json,4,576,168,1,4
clustering_data_157_1779023262276.json,5,136,420,4,4
clustering_data_157_1779023262276.json,6,363,472,4,4
clustering_data_157_1779023262276.json,7,82,152,1,4
clustering_data_157_1779023262276.json,8,742,163,2,4
clustering_data_157_1779023262276.json,9,510,101,1,4
clustering_data_157_1779023262276.json,10,248,101,1,4
clustering_data_157_1779023262276.json,11,288,492,4,4
clustering_data_157_1779023262276.json,12,693,427,3,4
clustering_data_157_1779023262276.json,13,766,236,2,4
clustering_data_157_1779023262276.json,14,673,385,3,4
clustering_data_157_1779023262276.json,15,88,488,4,4
clustering_data_157_1779023262276.json,16,123,438,4,4
clustering_data_157_1779023262276.json,17,561,174,1,4
clustering_data_157_1779023262276.json,18,76,413,4,4
clustering_data_157_1779023262276.json,19,403,234,1,4
clustering_data_157_1779023262276.json,20,761,284,2,4
clustering_data_157_1779023262276.json,21,416,124,1,4
clustering_data_157_1779023262276.json,22,30,419,4,4
clustering_data_157_1779023262276.json,23,482,31,1,4
clustering_data_157_1779023262276.json,24,450,266,1,4
clustering_data_157_1779023262276.json,25,334,241,1,4
clustering_data_157_1779023262276.json,26,557,197,1,4
clustering_data_157_1779023262276.json,27,165,105,1,4
clustering_data_157_1779023262276.json,28,552,79,1,4
clustering_data_157_1779023262276.json,29,151,16,1,4
clustering_data_157_1779023262276.json,30,357,301,1,4
clustering_data_159632_1779005635568.json,1,749,128,1,6
clustering_data_159632_1779005635568.json,2,57,166,1,6
clustering_data_159632_1779005635568.json,3,351,66,1,6
clustering_data_159632_1779005635568.json,4,576,168,6,6
clustering_data_159632_1779005635568.json,5,136,420,1,6
clustering_data_159632_1779005635568.json,6,363,472,1,6
clustering_data_159632_1779005635568.json,7,82,152,1,6
clustering_data_159632_1779005635568.json,8,742,163,1,6
clustering_data_159632_1779005635568.json,9,510,101,2,6
clustering_data_159632_1779005635568.json,10,248,101,1,6
clustering_data_159632_1779005635568.json,11,288,492,1,6
clustering_data_159632_1779005635568.json,12,693,427,1,6
clustering_data_159632_1779005635568.json,13,766,236,1,6
clustering_data_159632_1779005635568.json,14,673,385,1,6
clustering_data_159632_1779005635568.json,15,88,488,1,6
clustering_data_159632_1779005635568.json,16,123,438,1,6
clustering_data_159632_1779005635568.json,17,561,174,6,6
clustering_data_159632_1779005635568.json,18,76,413,1,6
clustering_data_159632_1779005635568.json,19,403,234,1,6
clustering_data_159632_1779005635568.json,20,761,284,1,6
clustering_data_159632_1779005635568.json,21,416,124,4,6
clustering_data_159632_1779005635568.json,22,30,419,1,6
clustering_data_159632_1779005635568.json,23,482,31,2,6
clustering_data_159632_1779005635568.json,24,450,266,5,6
clustering_data_159632_1779005635568.json,25,334,241,1,6
clustering_data_159632_1779005635568.json,26,557,197,6,6
clustering_data_159632_1779005635568.json,27,165,105,1,6
clustering_data_159632_1779005635568.json,28,552,79,2,6
clustering_data_159632_1779005635568.json,29,151,16,3,6
clustering_data_159632_1779005635568.json,30,357,301,1,6
clustering_data_178_1779010435618.json,1,749,128,1,2
clustering_data_178_1779010435618.json,2,57,166,1,2
clustering_data_178_1779010435618.json,3,351,66,1,2
clustering_data_178_1779010435618.json,4,576,168,1,2
clustering_data_178_1779010435618.json,5,136,420,2,2
clustering_data_178_1779010435618.json,6,363,472,2,2
clustering_data_178_1779010435618.json,7,82,152,1,2
clustering_data_178_1779010435618.json,8,742,163,1,2
clustering_data_178_1779010435618.json,9,510,101,1,2
clustering_data_178_1779010435618.json,10,248,101,1,2
clustering_data_178_1779010435618.json,11,288,492,2,2
clustering_data_178_1779010435618.json,12,693,427,1,2
clustering_data_178_1779010435618.json,13,766,236,1,2
clustering_data_178_1779010435618.json,14,673,385,1,2
clustering_data_178_1779010435618.json,15,88,488,2,2
clustering_data_178_1779010435618.json,16,123,438,2,2
clustering_data_178_1779010435618.json,17,561,174,1,2
clustering_data_178_1779010435618.json,18,76,413,2,2
clustering_data_178_1779010435618.json,19,403,234,1,2
clustering_data_178_1779010435618.json,20,761,284,1,2
clustering_data_178_1779010435618.json,21,416,124,1,2
clustering_data_178_1779010435618.json,22,30,419,2,2
clustering_data_178_1779010435618.json,23,482,31,1,2
clustering_data_178_1779010435618.json,24,450,266,1,2
clustering_data_178_1779010435618.json,25,334,241,1,2
clustering_data_178_1779010435618.json,26,557,197,1,2
clustering_data_178_1779010435618.json,27,165,105,1,2
clustering_data_178_1779010435618.json,28,552,79,1,2
clustering_data_178_1779010435618.json,29,151,16,1,2
clustering_data_178_1779010435618.json,30,357,301,1,2
