exp,n_points,mean,se,n
exp1,10,3.69561157796452,0.0542347815792735,1071
exp1,15,4.23787313432836,0.0744885050327932,1072
exp1,20,4.72108208955224,0.0940411590052877,1072
exp1,25,5.36974789915966,0.114711774006395,1071
exp1,30,5.5499533146592,0.128752826826007,1071
exp1,35,5.87488328664799,0.148951835099996,1071
exp1,40,6.29345794392523,0.164461540069316,1070
exp2,10,3.70818505338078,0.0445642857804931,562
exp2,15,3.96864111498258,0.0547925004698021,574
exp2,20,4.55202821869489,0.0734260748003528,567
exp2,25,4.70899470899471,0.0768833154899167,567
exp2,30,5.3978102189781,0.10305125820591,548
exp2,35,5.31393298059965,0.106881758099715,567
exp2,40,5.48900169204738,0.118127757350646,591
exp3,10,2.71828358208955,0.0315788095631837,1072
exp3,15,2.95055970149254,0.0354935162127905,1072
exp3,20,3.20055970149254,0.0468487246566407,1072
exp3,25,3.36007462686567,0.0496743298920397,1072
exp3,30,3.52611940298507,0.0550176534797417,1072
exp3,35,3.59794776119403,0.0625062916483883,1072
exp3,40,3.70988805970149,0.06627392248708,1072
exp4,10,2.97176079734219,0.038002830955781,602
exp4,15,3.11348684210526,0.0409598738162862,608
exp4,20,3.36195286195286,0.0472733624346066,594
exp4,25,3.48677248677249,0.0484602148621493,567
exp4,30,3.61969439728353,0.0528353517986247,589
exp4,35,3.76537216828479,0.059874802819864,618
exp4,40,3.80877192982456,0.0677377378994063,570
