exp,n_points,mean,se,n
exp1,10,2.70591207680647,0.0288079283289182,3958
exp1,15,3.53951133612151,0.0377599365055987,4543
exp1,20,4.23631693341237,0.0495069991033478,5061
exp1,25,4.65571205007825,0.0566699978766369,5751
exp1,30,5.40545087483176,0.0651735226121348,5944
exp1,35,5.95756516211062,0.0803803596551064,6292
exp1,40,6.35580635580636,0.0824529297762668,6734
exp2,10,2.5158349328215,0.0294482070207301,2084
exp2,15,3.43985952589991,0.0413742400457598,2278
exp2,20,4.10267338240992,0.0537074906812023,2581
exp2,25,4.83408239700375,0.0631084833785117,2670
exp2,30,5.15246788370521,0.0648476618851463,2958
exp2,35,6.04546963159642,0.087178980604894,3013
exp2,40,6.77281134401973,0.0904746523264722,3244
exp3,10,3.67879203843514,0.0306520723405792,2914
exp3,15,5.08378122036042,0.0435638952018475,3163
exp3,20,6.2489070241912,0.0566561825604844,3431
exp3,25,7.44031093836757,0.0688252946997908,3602
exp3,30,8.50793650793651,0.0768403905108983,3780
exp3,35,9.72776769509982,0.0949430124394314,3857
exp3,40,10.7819964797586,0.102363977752486,3977
exp4,10,3.36500838457239,0.0381792557882395,1789
exp4,15,4.81774960380349,0.0571312437438872,1893
exp4,20,5.94892338507762,0.0652655601695435,1997
exp4,25,7.16995447647951,0.0799279130858472,1977
exp4,30,8.28799249530957,0.0883443894801858,2132
exp4,35,9.29522990975505,0.1078181612872,2327
exp4,40,10.5020727775219,0.12451191522914,2171
