exp,sid,p1,p2
exp1,clustering_data_123547_1779006855371.json,3,2
exp1,clustering_data_144_1779008203482.json,3,4.5
exp1,clustering_data_1526_1778921090612.json,4,3
exp1,clustering_data_157_1779023262276.json,3,4
exp1,clustering_data_159632_1779005635568.json,3,3
exp1,clustering_data_178_1779010435618.json,3,4
exp1,clustering_data_1_1778580514835.json,4,3
exp1,clustering_data_1_1778856434540.json,3,2
exp1,clustering_data_1_1778856654436.json,4,3
exp1,clustering_data_1_1778856841160.json,3.5,2
exp1,clustering_data_1_1778857362772.json,3,3
exp1,clustering_data_1_1778857942951.json,8,7.5
exp1,clustering_data_1_1778858806557.json,5,5
exp1,clustering_data_1_1778859915503.json,6,4
exp1,clustering_data_1_1778862348366.json,6,5.5
exp1,clustering_data_1_1778863279883.json,4,3
exp1,clustering_data_1_1778864617877.json,7,4
exp1,clustering_data_1_1778870205460.json,24,18.5
exp1,clustering_data_1_1778896403458.json,11,9
exp1,clustering_data_1_1778896496028(6).json,4,4
exp1,clustering_data_1_1778897638396.json,6,3
exp1,clustering_data_1_1778898572443.json,4,4
exp1,clustering_data_1_1778899478018.json,6,6.5
exp1,clustering_data_1_1778899494861.json,2,2
exp1,clustering_data_1_1778899514714.json,5,4
exp1,clustering_data_1_1778901478974.json,3,2
exp1,clustering_data_1_1778901588298.json,9.5,8
exp1,clustering_data_1_1778904586028.json,5,3.5
exp1,clustering_data_1_1778908127478.json,4,4
exp1,clustering_data_1_1778910579866.json,9,7
exp1,clustering_data_1_1778910715216 (1).json,2,2
exp1,clustering_data_1_1778911329760.json,4,4
exp1,clustering_data_1_1778911807045.json,5,4
exp1,clustering_data_1_1778912045117.json,6,6
exp1,clustering_data_1_1778912213804.json,12,5
exp1,clustering_data_1_1778914474075.json,6,5
exp1,clustering_data_1_1778919828820.json,7,7
exp1,clustering_data_1_1778920081923.json,6,6.5
exp1,clustering_data_1_1778920134489.json,3,3
exp1,clustering_data_1_1778921788815.json,6,5
exp1,clustering_data_1_1778924966671.json,5,5
exp1,clustering_data_1_1778928868990.json,7,7
exp1,clustering_data_1_1778933230234.json,12,6.5
exp1,clustering_data_1_1778938564832.json,9,7
exp1,clustering_data_1_1778945657855.json,2,2
