exp,n_points,gm_ms,med_ms,lo,hi,n
exp1,10,6513.23409871312,7048.30000000075,6385.38633578029,6643.64162070005,1071
exp1,15,7982.99097708412,8425.19999999995,7816.21511301393,8153.32536512458,1072
exp1,20,9179.11050529154,9894.09999999555,8981.95702075789,9380.59149844874,1072
exp1,25,10270.7635336559,11264.4000000001,10037.997488273,10508.9270731054,1071
exp1,30,10771.1133421051,11819.8999999999,10528.1523772835,11019.6811815532,1071
exp1,35,11374.7350190221,12638.3000001907,11106.6490154265,11649.2919307397,1071
exp1,40,12611.7270999272,14280.5500000007,12313.2835950214,12917.4041364036,1070
exp2,10,25297.4501572624,24151.5,24668.2016424599,25942.7498499789,562
exp2,15,28496.7716762733,27469.599999994,27765.03795871,29247.7898707466,574
exp2,20,30702.2135925008,29952.4049999993,29852.7134600989,31575.8874227448,567
exp2,25,31364.9167024389,30711.5,30508.6098725262,32245.2581045598,567
exp2,30,33608.3651417584,34142.2000000123,32698.7871612122,34543.2447366616,548
exp2,35,33073.7983922942,31626,32159.7331783599,34013.8437725033,567
exp2,40,33435.6772025556,33656.8000000715,32548.7794391221,34346.7413911619,591
exp3,10,5270.86343712423,4820.05000000168,5153.26873279121,5391.14158670418,1072
exp3,15,5709.72457047009,5079.85000002384,5569.88336224945,5853.07672537395,1072
exp3,20,6292.12010941063,5843.30000000598,6131.54888678199,6456.89632461334,1072
exp3,25,6391.72586644301,6015.8499998562,6231.58367091051,6555.98347214157,1072
exp3,30,6220.90603522836,6128.74999997625,6063.52530997556,6382.37162719068,1072
exp3,35,6749.432601242,6517.54999999702,6575.40913633394,6928.06173641493,1072
exp3,40,7008.50497278543,6549.34999999404,6822.17778107692,7199.92112926209,1072
exp4,10,19979.4684674287,18130.0500000175,19520.2737485005,20449.465278203,602
exp4,15,21521.7951150833,19083.6500000954,21013.0665843858,22042.8400164973,608
exp4,20,21486.3079097084,19656.0999999996,21001.0669952428,21982.7605757066,594
exp4,25,22187.5574263543,20092,21649.5009521825,22738.9862535442,567
exp4,30,22531.7624959106,20411.2000000179,21976.4681275729,23101.0878647582,589
exp4,35,22615.6037519388,20127.6999999993,22117.3227575273,23125.1105150436,618
exp4,40,22481.289740352,20283.9499999732,21986.4631247768,22987.2529074541,570
