trial,agent,k,sil
0,human,2,0.41819976739248493
0,gmm,8,0.1764587343188977
0,dbscan,1,
1,human,4,0.2063187538954024
1,gmm,8,0.46909417482119736
1,dbscan,5,0.35964300447429615
2,human,3,0.27128317944149205
2,gmm,8,0.4854280401923078
2,dbscan,5,0.41192148521366845
3,human,3,0.3744908615739588
3,gmm,8,0.48103562380359066
3,dbscan,8,0.5601012928261464
4,human,2,0.5048096952100042
4,gmm,8,0.4629110079924554
4,dbscan,4,0.6376286111759258
5,human,3,0.45345626885393714
5,gmm,8,0.25537479528681467
5,dbscan,4,0.5168514391285018
6,human,3,0.16027640813755362
6,gmm,8,0.2800594536364459
6,dbscan,2,0.028907271545995452
7,human,2,0.3296999474610359
7,gmm,8,0.21240622087334698
7,dbscan,1,
8,human,2,0.39319097904433997
8,gmm,8,0.10645946299859359
8,dbscan,2,0.31781281284144763
9,human,2,0.5239000984623989
9,gmm,7,0.5473991894604074
9,dbscan,7,0.48655127480442195
10,human,3,0.19919513019673726
10,gmm,8,0.41181654415281255
10,dbscan,1,
11,human,2,0.18889496018718688
11,gmm,8,0.391142968296422
11,dbscan,3,0.11787876231126716
12,human,2,0.577077725279484
12,gmm,8,0.36641621587983275
12,dbscan,4,0.3793660171080533
13,human,3,0.4692810036898607
13,gmm,8,0.2541787464769895
13,dbscan,3,0.5983035144857154
14,human,5,0.19481993285683566
14,gmm,7,0.42048053002816743
14,dbscan,2,0.3468107680518694
15,human,3,0.6033139659419982
15,gmm,8,0.315785373329594
15,dbscan,4,0.5925424728757434
16,human,3,0.5216210797799045
16,gmm,8,0.27378580651216583
16,dbscan,4,0.6976565449294931
17,human,2,0.580414639215993
17,gmm,8,0.33779716799515996
17,dbscan,5,0.4706866209886451
18,human,2,0.39313329794626406
18,gmm,8,0.2268396540761116
18,dbscan,1,
19,human,2,0.40106763094646974
19,gmm,7,0.35998962890167857
19,dbscan,2,0.14134003761741115
20,human,2,0.4152625173279913
20,gmm,8,0.47409783625815766
20,dbscan,5,0.4153336740669677
21,human,6,0.011136884859725214
21,gmm,8,0.4497582449614434
21,dbscan,6,0.40489335189054154
22,human,3,0.4384160312461975
22,gmm,8,0.3618331591602254
22,dbscan,4,0.6361145763694069
23,human,3,0.5933793754399388
23,gmm,8,0.3674288906039226
23,dbscan,5,0.48712800898114705
24,human,3,0.2998328717731656
24,gmm,8,0.36901405786813773
24,dbscan,5,0.3761462634265349
25,human,5,0.393808249300184
25,gmm,8,0.3224844024675161
