j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
10,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,3,0.1991951301967373,8,0.41181654415281255,1,,3.0,0.36864334225392764,0.1968467953844396,3.0,0.2878200693145649,0.6749914471433459,3.0,0.23208841146528814,0.46028860356777634,9.0,0.30670707474338443,0.16159809183064996,3.0,0.32801732818643287,0.16110041888373142,2.0,0.27698190887728835,0.5453533667223149
12,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2,0.577077725279484,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.3697478991596639,3.0,0.46172462356758925,0.39893143365983974,3.0,0.4223795231533976,0.39893143365983974,6.0,0.32030603743668545,0.10215482841181164,2.0,0.577077725279484,1.0,2.0,0.10899660325024056,0.09569377990430619
14,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,5,0.19481993285683566,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.14634146341463417,3.0,0.34076348780852034,0.6293027360988526,3.0,0.365031638833176,0.7537838413984225,9.0,0.06761125746329429,0.1814780168381665,3.0,0.11889943569469709,0.31459958605317623,2.0,0.2760108259485679,0.38896189224704336
25,f54baffc-bc26-4c4d-b940-824d08daf230,15,5,0.393808249300184,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,0.7750535586765055,3.0,0.6443316798728668,0.7750535586765055,3.0,0.6443316798728668,0.7750535586765055,8.0,0.2149217442279081,0.3756558237145855,3.0,0.13416379325191558,0.1381668946648427,2.0,0.22074786696154916,0.2058660763696735
49,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,2,0.48112843176422176,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.6446600410159331,3.0,0.37759882516711096,0.5515041738856513,3.0,0.37759882516711096,0.5515041738856513,1.0,,0.0,4.0,0.15631795781227012,0.6148086850297514,2.0,0.22407879161932293,0.037837409958046395
51,e8770f4c-e648-4512-9529-b68de18f7703,30,2,0.4860369752569359,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.5458859257853279,4.0,0.35201154622400155,0.38145795810029387,4.0,0.2722541713473774,0.21641437284707515,7.0,0.18483806749086643,0.3728096485965965,4.0,0.3697013276527659,0.5919367588932806,2.0,0.22858172993063533,-0.01636588537536877
53,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,2,0.4292528343764447,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.46527636740671063,3.0,0.30687042275473697,0.6330760114033122,3.0,0.39922115927478985,0.3303399615137909,7.0,0.10824478406775702,0.12872587870434185,4.0,0.3296748063163466,0.40750313703199237,2.0,0.1811449749448174,0.04020142943107795
55,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,2,0.39331375079963465,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,0.11553784860557774,3.0,0.35251985784181117,0.2891566265060241,3.0,0.30451110997640557,0.2364729458917836,8.0,0.27465788093222554,0.07857142857142856,4.0,0.23049416906997386,0.26900584795321636,2.0,0.32581493592369576,0.08108108108108109
73,f54baffc-bc26-4c4d-b940-824d08daf230,15,2,0.3492450054855628,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,0.3647686832740214,3.0,0.6443316798728668,0.3647686832740214,3.0,0.6443316798728668,0.3647686832740214,8.0,0.2149217442279081,0.12041884816753927,3.0,0.13416379325191558,-0.09115770282588873,2.0,0.22074786696154916,-0.06521739130434787
79,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2,0.3468107680518694,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.1570327552986513,3.0,0.34076348780852034,0.2076081934390882,3.0,0.365031638833176,0.3037574992106094,9.0,0.06761125746329429,-0.02072141212586339,3.0,0.11889943569469709,0.7344013490725126,2.0,0.2760108259485679,0.07862407862407861
