condition,base_uuid,n_points,k
exp1,0f18f0ad-f23d-4fc9-a761-3920c107550b,35,7.2835820895522385
exp1,0f9a9c80-cdab-4071-8d56-27965b585a10,35,5.850746268656716
exp1,2bb1495b-1ef6-4943-bb48-662371f50b30,25,4.656716417910448
exp1,2f24428f-632d-4374-b0ca-cb3d0ae04bc5,30,5.32089552238806
exp1,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,25,5.443609022556391
exp1,3088609a-8abd-42eb-9289-926728077ed5,10,3.8059701492537314
exp1,339f68e4-98bf-4d4a-81c7-06fa958f307e,20,4.417910447761194
exp1,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,4.08955223880597
exp1,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,20,4.044776119402985
exp1,3808a1ab-27ce-451f-bbd1-525f0e658c07,30,5.552238805970149
exp1,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,15,4.2611940298507465
exp1,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,40,6.223880597014926
exp1,42d361fa-4736-4e88-983e-5a08e9ba6071,20,4.925373134328358
exp1,49f28baf-c341-4fb1-a75b-0ff70240de39,20,5.634328358208955
exp1,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,15,3.58955223880597
exp1,51196345-76b0-41da-9c00-5ecb1a87b408,30,5.7835820895522385
exp1,56c594b9-620f-49b9-8302-684c969061da,30,5.3283582089552235
exp1,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,5.723880597014926
exp1,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,3.4925373134328357
exp1,6da3f9dc-e910-4c46-822b-eebee4448324,40,6.164179104477612
exp1,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,25,5.902985074626866
exp1,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,35,4.879699248120301
exp1,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,15,5.141791044776119
exp1,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,10,4.293233082706767
exp1,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,4.1716417910447765
exp1,832f32ad-e7bf-4c32-b9a1-17a590595e51,25,5.029850746268656
exp1,839dbbc1-445d-4298-95c3-38299943cfb6,10,3.7761194029850746
exp1,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,4.6716417910447765
exp1,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,4.985074626865671
exp1,8977f47a-e877-4e8c-aec8-0408550d3baf,20,5.835820895522388
exp1,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,40,6.380597014925373
exp1,8ced8977-7d84-444f-9648-a0c4b65e45ce,20,4.477611940298507
exp1,96d4aa75-d671-422c-9390-9242e47507dd,40,6.201492537313433
exp1,98dd5bec-729c-46ed-9714-b1e26e817196,35,4.902985074626866
exp1,9960e442-6168-430d-b694-abfb5f4339fa,15,4.082089552238806
exp1,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,35,5.626865671641791
exp1,a817f837-f86b-4b90-88a3-572342420271,30,6.141791044776119
exp1,b3697dbc-04ee-4762-a98d-5773cf0c7e84,10,3.156716417910448
exp1,be66f0f4-0431-458a-8aa4-16bc76354c9f,25,5.335820895522388
exp1,bf683b51-fa65-450e-8155-5f0af307bf63,10,3.8358208955223883
exp1,c91f4a09-8df1-4eb3-859a-8dc243343b26,40,7.225563909774436
exp1,cf70fe68-3e60-4947-ad2d-362b96f50a15,10,3.5522388059701493
exp1,d26cc3de-4659-421d-a01c-1b05a01a5457,15,4.425373134328358
exp1,d62793d4-4219-4f10-b2aa-86d40192d723,40,5.578947368421052
exp1,d764a7da-3857-4975-a325-f83a0b413cc5,40,6.402985074626866
exp1,e0b28b0d-8194-475b-98a6-6931d1ff1004,20,4.2611940298507465
exp1,e8770f4c-e648-4512-9529-b68de18f7703,30,5.428571428571429
exp1,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,25,6.58955223880597
exp1,ef372ea6-6bfe-4730-a880-e08824b68faa,30,5.858208955223881
exp1,f0443691-d86e-42b0-bb33-d31e77ba24d3,15,4.559701492537314
exp1,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,35,6.111940298507463
exp1,f54baffc-bc26-4c4d-b940-824d08daf230,15,3.753731343283582
exp1,fa83ff0a-5066-4c01-bdf6-909bc3dda074,35,6.611940298507463
exp1,fbb6c70e-fe6e-4634-8737-975d829a36cc,25,5.3283582089552235
exp1,fccbc907-4526-43e2-8ded-142b804b471a,10,3.656716417910448
exp1,fdb55140-d76a-43e5-b66a-8883dc677b94,40,6.1716417910447765
exp2,0f18f0ad-f23d-4fc9-a761-3920c107550b,35,5.688524590163935
exp2,0f9a9c80-cdab-4071-8d56-27965b585a10,35,5.013333333333334
exp2,2bb1495b-1ef6-4943-bb48-662371f50b30,25,4.12
exp2,2f24428f-632d-4374-b0ca-cb3d0ae04bc5,30,5.314285714285714
exp2,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,25,4.405405405405405
exp2,3088609a-8abd-42eb-9289-926728077ed5,10,3.779220779220779
exp2,339f68e4-98bf-4d4a-81c7-06fa958f307e,20,4.365853658536586
exp2,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,3.513888888888889
exp2,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,20,4.369230769230769
exp2,3808a1ab-27ce-451f-bbd1-525f0e658c07,30,4.7384615384615385
exp2,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,15,4.119402985074627
exp2,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,40,5.28
exp2,42d361fa-4736-4e88-983e-5a08e9ba6071,20,4.493150684931507
exp2,49f28baf-c341-4fb1-a75b-0ff70240de39,20,5.27536231884058
exp2,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,15,3.7260273972602738
exp2,51196345-76b0-41da-9c00-5ecb1a87b408,30,5.880597014925373
exp2,56c594b9-620f-49b9-8302-684c969061da,30,5.5285714285714285
exp2,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,5.463768115942029
exp2,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,3.4461538461538463
exp2,6da3f9dc-e910-4c46-822b-eebee4448324,40,5.909090909090909
exp2,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,25,4.946666666666666
exp2,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,35,5.059701492537314
exp2,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,15,4.4743589743589745
exp2,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,10,4.28
exp2,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,4.656716417910448
exp2,832f32ad-e7bf-4c32-b9a1-17a590595e51,25,4.875
exp2,839dbbc1-445d-4298-95c3-38299943cfb6,10,3.5942028985507246
exp2,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,4.36986301369863
exp2,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,5.617647058823529
exp2,8977f47a-e877-4e8c-aec8-0408550d3baf,20,4.880597014925373
exp2,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,40,5.6103896103896105
exp2,8ced8977-7d84-444f-9648-a0c4b65e45ce,20,4.405405405405405
exp2,96d4aa75-d671-422c-9390-9242e47507dd,40,5.016393442622951
exp2,98dd5bec-729c-46ed-9714-b1e26e817196,35,5.541666666666667
exp2,9960e442-6168-430d-b694-abfb5f4339fa,15,4.195121951219512
exp2,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,35,5.025974025974026
exp2,a817f837-f86b-4b90-88a3-572342420271,30,5.450704225352113
exp2,b3697dbc-04ee-4762-a98d-5773cf0c7e84,10,3.2857142857142856
exp2,be66f0f4-0431-458a-8aa4-16bc76354c9f,25,4.5588235294117645
exp2,bf683b51-fa65-450e-8155-5f0af307bf63,10,3.835616438356164
exp2,c91f4a09-8df1-4eb3-859a-8dc243343b26,40,5.512195121951219
exp2,cf70fe68-3e60-4947-ad2d-362b96f50a15,10,3.5
exp2,d26cc3de-4659-421d-a01c-1b05a01a5457,15,3.984848484848485
exp2,d62793d4-4219-4f10-b2aa-86d40192d723,40,5.386666666666667
exp2,d764a7da-3857-4975-a325-f83a0b413cc5,40,5.5
exp2,e0b28b0d-8194-475b-98a6-6931d1ff1004,20,4.0285714285714285
exp2,e8770f4c-e648-4512-9529-b68de18f7703,30,5.397058823529412
exp2,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,25,5.265625
exp2,ef372ea6-6bfe-4730-a880-e08824b68faa,30,5.231884057971015
exp2,f0443691-d86e-42b0-bb33-d31e77ba24d3,15,3.970149253731343
exp2,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,35,5.65
exp2,f54baffc-bc26-4c4d-b940-824d08daf230,15,3.6956521739130435
exp2,fa83ff0a-5066-4c01-bdf6-909bc3dda074,35,5.090909090909091
exp2,fbb6c70e-fe6e-4634-8737-975d829a36cc,25,5.216216216216216
exp2,fccbc907-4526-43e2-8ded-142b804b471a,10,3.933333333333333
exp2,fdb55140-d76a-43e5-b66a-8883dc677b94,40,5.6
exp3,0f18f0ad-f23d-4fc9-a761-3920c107550b,35,3.7761194029850746
exp3,0f9a9c80-cdab-4071-8d56-27965b585a10,35,3.4925373134328357
exp3,2bb1495b-1ef6-4943-bb48-662371f50b30,25,3.3059701492537314
exp3,2f24428f-632d-4374-b0ca-cb3d0ae04bc5,30,3.582089552238806
exp3,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,25,3.2238805970149254
exp3,3088609a-8abd-42eb-9289-926728077ed5,10,2.5522388059701493
exp3,339f68e4-98bf-4d4a-81c7-06fa958f307e,20,3.1343283582089554
exp3,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2.8208955223880596
exp3,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,20,3.044776119402985
exp3,3808a1ab-27ce-451f-bbd1-525f0e658c07,30,3.462686567164179
exp3,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,15,3.029850746268657
exp3,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,40,3.791044776119403
exp3,42d361fa-4736-4e88-983e-5a08e9ba6071,20,3.1641791044776117
exp3,49f28baf-c341-4fb1-a75b-0ff70240de39,20,3.1641791044776117
exp3,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,15,2.843283582089552
exp3,51196345-76b0-41da-9c00-5ecb1a87b408,30,3.574626865671642
exp3,56c594b9-620f-49b9-8302-684c969061da,30,3.582089552238806
exp3,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,3.5
exp3,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2.6865671641791047
exp3,6da3f9dc-e910-4c46-822b-eebee4448324,40,3.6417910447761193
exp3,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,25,3.462686567164179
exp3,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,35,3.5
exp3,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,15,3.1343283582089554
exp3,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,10,2.6044776119402986
exp3,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,3.246268656716418
exp3,832f32ad-e7bf-4c32-b9a1-17a590595e51,25,3.328358208955224
exp3,839dbbc1-445d-4298-95c3-38299943cfb6,10,2.8656716417910446
exp3,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,3.2238805970149254
exp3,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,3.485074626865672
exp3,8977f47a-e877-4e8c-aec8-0408550d3baf,20,3.4402985074626864
exp3,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,40,3.6865671641791047
exp3,8ced8977-7d84-444f-9648-a0c4b65e45ce,20,3.2611940298507465
exp3,96d4aa75-d671-422c-9390-9242e47507dd,40,3.6044776119402986
exp3,98dd5bec-729c-46ed-9714-b1e26e817196,35,3.388059701492537
exp3,9960e442-6168-430d-b694-abfb5f4339fa,15,3.1343283582089554
exp3,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,35,3.7686567164179103
exp3,a817f837-f86b-4b90-88a3-572342420271,30,3.5522388059701493
exp3,b3697dbc-04ee-4762-a98d-5773cf0c7e84,10,2.708955223880597
exp3,be66f0f4-0431-458a-8aa4-16bc76354c9f,25,3.5
exp3,bf683b51-fa65-450e-8155-5f0af307bf63,10,2.6865671641791047
exp3,c91f4a09-8df1-4eb3-859a-8dc243343b26,40,3.7761194029850746
exp3,cf70fe68-3e60-4947-ad2d-362b96f50a15,10,2.656716417910448
exp3,d26cc3de-4659-421d-a01c-1b05a01a5457,15,2.8507462686567164
exp3,d62793d4-4219-4f10-b2aa-86d40192d723,40,3.6194029850746268
exp3,d764a7da-3857-4975-a325-f83a0b413cc5,40,3.8507462686567164
exp3,e0b28b0d-8194-475b-98a6-6931d1ff1004,20,3.1492537313432836
exp3,e8770f4c-e648-4512-9529-b68de18f7703,30,3.4925373134328357
exp3,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,25,3.5
exp3,ef372ea6-6bfe-4730-a880-e08824b68faa,30,3.4776119402985075
exp3,f0443691-d86e-42b0-bb33-d31e77ba24d3,15,2.9029850746268657
exp3,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,35,3.5970149253731343
exp3,f54baffc-bc26-4c4d-b940-824d08daf230,15,2.888059701492537
exp3,fa83ff0a-5066-4c01-bdf6-909bc3dda074,35,3.7611940298507465
exp3,fbb6c70e-fe6e-4634-8737-975d829a36cc,25,3.3358208955223883
exp3,fccbc907-4526-43e2-8ded-142b804b471a,10,2.985074626865672
exp3,fdb55140-d76a-43e5-b66a-8883dc677b94,40,3.708955223880597
exp4,0f18f0ad-f23d-4fc9-a761-3920c107550b,35,4.173333333333333
exp4,0f9a9c80-cdab-4071-8d56-27965b585a10,35,3.7261904761904763
exp4,2bb1495b-1ef6-4943-bb48-662371f50b30,25,3.5
exp4,2f24428f-632d-4374-b0ca-cb3d0ae04bc5,30,3.6944444444444446
exp4,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,25,3.392857142857143
exp4,3088609a-8abd-42eb-9289-926728077ed5,10,2.9342105263157894
exp4,339f68e4-98bf-4d4a-81c7-06fa958f307e,20,3.2318840579710146
exp4,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2.9240506329113924
exp4,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,20,3.3733333333333335
exp4,3808a1ab-27ce-451f-bbd1-525f0e658c07,30,3.585714285714286
exp4,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,15,3.0
exp4,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,40,3.7313432835820897
exp4,42d361fa-4736-4e88-983e-5a08e9ba6071,20,3.3421052631578947
exp4,49f28baf-c341-4fb1-a75b-0ff70240de39,20,3.289855072463768
exp4,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,15,3.0641025641025643
exp4,51196345-76b0-41da-9c00-5ecb1a87b408,30,3.7681159420289854
exp4,56c594b9-620f-49b9-8302-684c969061da,30,3.7125
exp4,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,3.607142857142857
exp4,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,3.028985507246377
exp4,6da3f9dc-e910-4c46-822b-eebee4448324,40,4.078125
exp4,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,25,3.551282051282051
exp4,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,35,3.5
exp4,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,15,3.311688311688312
exp4,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,10,3.158536585365854
exp4,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,3.3333333333333335
exp4,832f32ad-e7bf-4c32-b9a1-17a590595e51,25,3.4
exp4,839dbbc1-445d-4298-95c3-38299943cfb6,10,2.782608695652174
exp4,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,3.53125
exp4,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,3.5866666666666664
exp4,8977f47a-e877-4e8c-aec8-0408550d3baf,20,3.8684210526315788
exp4,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,40,3.8219178082191783
exp4,8ced8977-7d84-444f-9648-a0c4b65e45ce,20,3.3783783783783785
exp4,96d4aa75-d671-422c-9390-9242e47507dd,40,3.96875
exp4,98dd5bec-729c-46ed-9714-b1e26e817196,35,3.783132530120482
exp4,9960e442-6168-430d-b694-abfb5f4339fa,15,3.2054794520547945
exp4,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,35,3.6470588235294117
exp4,a817f837-f86b-4b90-88a3-572342420271,30,3.661764705882353
exp4,b3697dbc-04ee-4762-a98d-5773cf0c7e84,10,2.8923076923076922
exp4,be66f0f4-0431-458a-8aa4-16bc76354c9f,25,3.472972972972973
exp4,bf683b51-fa65-450e-8155-5f0af307bf63,10,3.0533333333333332
exp4,c91f4a09-8df1-4eb3-859a-8dc243343b26,40,3.7662337662337664
exp4,cf70fe68-3e60-4947-ad2d-362b96f50a15,10,2.858974358974359
exp4,d26cc3de-4659-421d-a01c-1b05a01a5457,15,3.0617283950617282
exp4,d62793d4-4219-4f10-b2aa-86d40192d723,40,3.8026315789473686
exp4,d764a7da-3857-4975-a325-f83a0b413cc5,40,3.6363636363636362
exp4,e0b28b0d-8194-475b-98a6-6931d1ff1004,20,3.2615384615384615
exp4,e8770f4c-e648-4512-9529-b68de18f7703,30,3.4776119402985075
exp4,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,25,3.7941176470588234
exp4,ef372ea6-6bfe-4730-a880-e08824b68faa,30,3.6582278481012658
exp4,f0443691-d86e-42b0-bb33-d31e77ba24d3,15,3.2666666666666666
exp4,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,35,3.887323943661972
exp4,f54baffc-bc26-4c4d-b940-824d08daf230,15,3.1794871794871793
exp4,fa83ff0a-5066-4c01-bdf6-909bc3dda074,35,3.9726027397260273
exp4,fbb6c70e-fe6e-4634-8737-975d829a36cc,25,3.4133333333333336
exp4,fccbc907-4526-43e2-8ded-142b804b471a,10,3.125
