model,condition,slope,ci_lo,ci_hi,n
Human,exp3,0.032822494669509594,0.021488324594136562,0.044156664744882626,67
Human,exp4,0.0287910978727797,0.021462914866927706,0.0361192808786317,73
Stopping walk,exp3,0.034487563636363634,0.03122580690378791,0.03757344940326075,4
Stopping walk,exp4,0.024401745454545456,0.020970297387886458,0.027625345925188165,4
Greedy,exp3,-0.008928571428571423,-0.01843052054635968,0.0005733776892168346,56
Greedy,exp4,-0.008928571428571428,-0.017952972506472098,9.582964932924355e-05,56
Model-H,exp3,0.004757462686567174,0.0006168347217446017,0.008898090651389747,56
Model-H,exp4,0.02344825715778281,0.017641294097872903,0.02925522021769272,56
kmeans_auto,exp3,-0.004464285714285711,,,56
kmeans_auto,exp4,-0.004464285714285711,,,56
